dataset,level_1,level_2,level_3,fname,longitude,latitude
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_073,21.8327,-22.3542
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_072,21.8327,-22.3542
MEYER-OKIN,pv,pv,Terminalia sericea,S9T1ind_071,21.8327,-22.3542
MEYER-OKIN,pv,pv,Terminalia sericea,S9T1ind_069,21.8327,-22.3542
MEYER-OKIN,pv,pv,Terminalia sericea,S9T1ind_067,21.8327,-22.3542
MEYER-OKIN,pv,pv,Terminalia sericea,S9T1ind_065,21.8327,-22.3542
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_074,21.8327,-22.3542
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S9T1ind_063,21.8327,-22.3542
MEYER-OKIN,pv,pv,Albizia harveyi,S2T1win_017,21.8418,-18.6798
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S9T1ind_062,21.8327,-22.3542
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S9T1ind_059,21.8327,-22.3542
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S9T1ind_058,21.8327,-22.3542
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S9T1ind_057,21.8327,-22.3542
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S9T1ind_056,21.8327,-22.3542
MEYER-OKIN,pv,pv,Albizia harveyi,S2T1win_016,21.8418,-18.6798
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_075,21.8327,-22.3542
MEYER-OKIN,pv,pv,Rhigozum brevispinosum,S2T1win_015,21.8418,-18.6798
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_076,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia flava,S9T1ind_097,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia erioloba,S9T1ind_092,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia erioloba,S9T1ind_091,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia erioloba,S9T1ind_090,21.8327,-22.3542
MEYER-OKIN,pv,pv,grewia leaf,s2t1ind_020,21.8418,-18.6798
MEYER-OKIN,pv,pv,Acacia erioloba,S9T1ind_088,21.8327,-22.3542
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_082,21.8327,-22.3542
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_081,21.8327,-22.3542
MEYER-OKIN,pv,pv,Dichrostachys cinera,S2T1win_007,21.8418,-18.6798
MEYER-OKIN,pv,pv,Acacia erubescense,S2T1win_008,21.8418,-18.6798
MEYER-OKIN,pv,pv,Acacia erubescense,S2T1win_009,21.8418,-18.6798
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_080,21.8327,-22.3542
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_079,21.8327,-22.3542
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_078,21.8327,-22.3542
MEYER-OKIN,pv,pv,Bauhenia petersiana,S9T1ind_077,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia fleckii,S9T1ind_055,21.8327,-22.3542
MEYER-OKIN,pv,pv,Terminalia sericea,S9T1ind_032,21.8327,-22.3542
MEYER-OKIN,pv,pv,Albizia harveyi,S2T1win_018,21.8418,-18.6798
MEYER-OKIN,pv,pv,Grewia flava,S2T1win_021,21.8418,-18.6798
MEYER-OKIN,pv,pv,Catophractes alexandri,S2T1win_055,21.8418,-18.6798
MEYER-OKIN,pv,pv,Catophractes alexandri,S2T1win_056,21.8418,-18.6798
MEYER-OKIN,pv,pv,Catophractes alexandri,S2T1win_057,21.8418,-18.6798
MEYER-OKIN,pv,pv,Catophractes alexandri,S2T1win_058,21.8418,-18.6798
MEYER-OKIN,pv,pv,Green herb,S2T1win_060,21.8418,-18.6798
MEYER-OKIN,pv,pv,Green herb,S2T1win_061,21.8418,-18.6798
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S2T1win_042,21.8418,-18.6798
MEYER-OKIN,pv,pv,Grewia flava,S9T1ind_045,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia bicolor,S9T1ind_042,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia bicolor,S9T1ind_041,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia bicolor,S9T1ind_040,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia bicolor,S9T1ind_039,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia bicolor,S9T1ind_038,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia bicolor,S9T1ind_037,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia bicolor,S9T1ind_043,21.8327,-22.3542
MEYER-OKIN,pv,pv,Baphia massaiensis,s3T1win_008,22.0099,-19.0776
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S2T1win_041,21.8418,-18.6798
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S2T1win_040,21.8418,-18.6798
MEYER-OKIN,pv,pv,Grewia bicolor,S2T1win_023,21.8418,-18.6798
MEYER-OKIN,pv,pv,Green Grass,S2T1win_028,21.8418,-18.6798
MEYER-OKIN,pv,pv,Boscia albitrunca,S2T1win_029,21.8418,-18.6798
MEYER-OKIN,pv,pv,Acacia fleckii,S9T1ind_054,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia fleckii,S9T1ind_053,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia fleckii,S9T1ind_052,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia fleckii,S9T1ind_051,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia fleckii,S9T1ind_050,21.8327,-22.3542
MEYER-OKIN,pv,pv,Acacia fleckii,S9T1ind_048,21.8327,-22.3542
MEYER-OKIN,pv,pv,Grewia flava,S9T1ind_047,21.8327,-22.3542
MEYER-OKIN,pv,pv,Boscia albitrunca,S2T1win_030,21.8418,-18.6798
MEYER-OKIN,pv,pv,Boscia albitrunca,S2T1win_031,21.8418,-18.6798
MEYER-OKIN,pv,pv,Boscia albitrunca,S2T1win_032,21.8418,-18.6798
MEYER-OKIN,pv,pv,Acacia mellifera,S2T1win_033,21.8418,-18.6798
MEYER-OKIN,pv,pv,Acacia luederitzii,S2T1win_039,21.8418,-18.6798
MEYER-OKIN,pv,pv,Grewia flava,S2T1win_020,21.8418,-18.6798
MEYER-OKIN,pv,pv,Baphia massaiensis,s3T1win_009,22.0099,-19.0776
MEYER-OKIN,pv,pv,ziziphus mucronata,S8T3ind_024,21.6833,-21.7612
MEYER-OKIN,pv,pv,Baphia massaiensis,s3T1win_011,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia luederitzii,S4T1win_085,21.8174,-19.5293
MEYER-OKIN,pv,pv,Baphia massaiensis,S4T1win_041,21.8174,-19.5293
MEYER-OKIN,pv,pv,Baphia massaiensis,S4T1win_040,21.8174,-19.5293
MEYER-OKIN,pv,pv,Baphia massaiensis,S4T1win_039,21.8174,-19.5293
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S4T1win_038,21.8174,-19.5293
MEYER-OKIN,pv,pv,Lonchocarpus nelsii,S4T1win_036,21.8174,-19.5293
MEYER-OKIN,pv,pv,Grewia spp.,s6t2ind_002,21.9933,-20.2981
MEYER-OKIN,pv,pv,Boscia albitrunca,S4T1win_028,21.8174,-19.5293
MEYER-OKIN,pv,pv,green grass,s6t2ind_007,21.9933,-20.2981
MEYER-OKIN,pv,pv,green grass,S4T1win_023,21.8174,-19.5293
MEYER-OKIN,pv,pv,green grass,S4T1win_022,21.8174,-19.5293
MEYER-OKIN,pv,pv,green grass,S4T1win_021,21.8174,-19.5293
MEYER-OKIN,pv,pv,Colophospermum mopane,S4T1win_020,21.8174,-19.5293
MEYER-OKIN,pv,pv,Colophospermum mopane,S4T1win_019,21.8174,-19.5293
MEYER-OKIN,pv,pv,Acacia luederitzii,S4T1win_086,21.8174,-19.5293
MEYER-OKIN,pv,pv,Colophospermum mopane,S4T1win_018,21.8174,-19.5293
MEYER-OKIN,pv,pv,green herb,S4T1win_016,21.8174,-19.5293
MEYER-OKIN,pv,pv,green herb,S4T1win_015,21.8174,-19.5293
MEYER-OKIN,pv,pv,green herb,S4T1win_014,21.8174,-19.5293
MEYER-OKIN,pv,pv,Grewia flava,S4T1win_013,21.8174,-19.5293
MEYER-OKIN,pv,pv,green grass ,s6t3ind_012,21.9933,-20.2981
MEYER-OKIN,pv,pv,Grewia flava,S4T1win_010,21.8174,-19.5293
MEYER-OKIN,pv,pv,green herb,S4T1win_006,21.8174,-19.5293
MEYER-OKIN,pv,pv,green herb,S4T1win_005,21.8174,-19.5293
MEYER-OKIN,pv,pv,green herb,S4T1win_004,21.8174,-19.5293
MEYER-OKIN,pv,pv,Acacia erubescense,S4T1win_003,21.8174,-19.5293
MEYER-OKIN,pv,pv,leaf mopane,s4t1ind_016,21.8174,-19.5293
MEYER-OKIN,pv,pv,leaf mopane,s4t1ind_015,21.8174,-19.5293
MEYER-OKIN,pv,pv,green grass ,s6t3ind_013,21.9933,-20.2981
MEYER-OKIN,pv,pv,Combretum hereroense,S8T1ind_023,21.6833,-21.7612
MEYER-OKIN,pv,pv,Colophospermum mopane,S4T1win_017,21.8174,-19.5293
MEYER-OKIN,pv,pv,Ziziphus mucronata,S8T1ind_025,21.6833,-21.7612
MEYER-OKIN,pv,pv,Acacia luederitzii,S4T1win_087,21.8174,-19.5293
MEYER-OKIN,pv,pv,green herb,S6T1win_039,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,s6t1ind_021,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,s6t1ind_020,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,s6t1ind_019,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,s6t1ind_018,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,s6t1ind_017,21.9933,-20.2981
MEYER-OKIN,pv,pv,Terminalia sericea,S5T31win_034,21.5742,-20.1019
MEYER-OKIN,pv,pv,Combretum collinum,S5T31win_030,21.5742,-20.1019
MEYER-OKIN,pv,pv,Grewia spp,s6t1ind_023,21.9933,-20.2981
MEYER-OKIN,pv,pv,green grass,S5T31win_024,21.5742,-20.1019
MEYER-OKIN,pv,pv,green grass,S5T31win_023,21.5742,-20.1019
MEYER-OKIN,pv,pv,green grass,S5T31win_022,21.5742,-20.1019
MEYER-OKIN,pv,pv,Terminalia sericea,S5T31win_021,21.5742,-20.1019
MEYER-OKIN,pv,pv,Terminalia sericea,S5T31win_020,21.5742,-20.1019
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S5T31win_015,21.5742,-20.1019
MEYER-OKIN,pv,pv,Grewia spp.,s6t2ind_000,21.9933,-20.2981
MEYER-OKIN,pv,pv,Baikiaea plurijuga,S5T31win_014,21.5742,-20.1019
MEYER-OKIN,pv,pv,Baphia massaiensis,S5T31win_012,21.5742,-20.1019
MEYER-OKIN,pv,pv,Baphia massaiensis,S5T31win_011,21.5742,-20.1019
MEYER-OKIN,pv,pv,Baphia massaiensis,S5T31win_010,21.5742,-20.1019
MEYER-OKIN,pv,pv,Acacia fleckii,S5T31win_009,21.5742,-20.1019
MEYER-OKIN,pv,pv,Acacia fleckii,S5T31win_008,21.5742,-20.1019
MEYER-OKIN,pv,pv,Acacia fleckii,S5T31win_007,21.5742,-20.1019
MEYER-OKIN,pv,pv,green grass,s5t2ind_052,21.5742,-20.1019
MEYER-OKIN,pv,pv,Boscia albitrunca,s6t1ind_024,21.9933,-20.2981
MEYER-OKIN,pv,pv,Boscia albitrunca,s6t1ind_025,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,s6t1ind_046,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,S6T1win_020,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,S6T1win_021,21.9933,-20.2981
MEYER-OKIN,pv,pv,Acacia erubescense,S6T1win_023,21.9933,-20.2981
MEYER-OKIN,pv,pv,green herb,S6T1win_033,21.9933,-20.2981
MEYER-OKIN,pv,pv,Baphia massaiensis,S5T31win_013,21.5742,-20.1019
MEYER-OKIN,pv,pv,Baphia massaiensis,s3T1win_010,22.0099,-19.0776
MEYER-OKIN,pv,pv,Ziziphus mucronata,S8T1ind_026,21.6833,-21.7612
MEYER-OKIN,pv,pv,Ziziphus mucronata,S8T1ind_028,21.6833,-21.7612
MEYER-OKIN,pv,pv,terminalia sericea,S8T3ind_013,21.6833,-21.7612
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_040,22.0099,-19.0776
MEYER-OKIN,pv,pv,terminalia sericea,S8T3ind_019,21.6833,-21.7612
MEYER-OKIN,pv,pv,green grass,S8T3ind_021,21.6833,-21.7612
MEYER-OKIN,pv,pv,terminalia sericea,S8T3ind_022,21.6833,-21.7612
MEYER-OKIN,pv,pv,ziziphus mucronata,S8T3ind_025,21.6833,-21.7612
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_039,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_038,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_037,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum psidioides,s3T1win_031,22.0099,-19.0776
MEYER-OKIN,pv,pv,Lonchocarpus nelsi,s3T1win_030,22.0099,-19.0776
MEYER-OKIN,pv,pv,Lonchocarpus nelsi,s3T1win_029,22.0099,-19.0776
MEYER-OKIN,pv,pv,Lonchocarpus nelsi,s3T1win_028,22.0099,-19.0776
MEYER-OKIN,pv,pv,Lonchocarpus nelsi,s3T1win_027,22.0099,-19.0776
MEYER-OKIN,pv,pv,green herb,S8T3ind_011,21.6833,-21.7612
MEYER-OKIN,pv,pv,Lonchocarpus nelsi,s3T1win_026,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_024,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_023,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_022,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_021,22.0099,-19.0776
MEYER-OKIN,pv,pv,ziziphus mucronata,S8T3ind_026,21.6833,-21.7612
MEYER-OKIN,pv,pv,acacia erioloba,S8T3ind_027,21.6833,-21.7612
MEYER-OKIN,pv,pv,acacia erioloba,S8T3ind_028,21.6833,-21.7612
MEYER-OKIN,pv,pv,combretum hereroense,S8T3ind_029,21.6833,-21.7612
MEYER-OKIN,pv,pv,grewia flava,S8T3ind_030,21.6833,-21.7612
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_020,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum collinum,s3T1win_016,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum collinum,s3T1win_015,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum collinum,s3T1win_014,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum collinum,s3T1win_012,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,s3T1win_025,22.0099,-19.0776
MEYER-OKIN,pv,pv,Ziziphus mucronata,S8T1ind_027,21.6833,-21.7612
MEYER-OKIN,pv,pv,combretum hereroense,S8T3ind_009,21.6833,-21.7612
MEYER-OKIN,pv,pv,combretum hereroense,S8T3ind_003,21.6833,-21.7612
MEYER-OKIN,pv,pv,Ziziphus mucronata,S8T1ind_029,21.6833,-21.7612
MEYER-OKIN,pv,pv,Acacia fleckii,S8T1ind_030,21.6833,-21.7612
MEYER-OKIN,pv,pv,Dichrostachys cinera,s3T1win_089,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia fleckii,S8T1ind_031,21.6833,-21.7612
MEYER-OKIN,pv,pv,Acacia fleckii,S8T1ind_032,21.6833,-21.7612
MEYER-OKIN,pv,pv,Dichrostachys cinera,s3T1win_088,22.0099,-19.0776
MEYER-OKIN,pv,pv,green herb,s3T1win_081,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia erubescense,s3T1win_080,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia erubescense,s3T1win_079,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia erubescense,s3T1win_078,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia erubescense,s3T1win_077,22.0099,-19.0776
MEYER-OKIN,pv,pv,Acacia erubescense,s3T1win_076,22.0099,-19.0776
MEYER-OKIN,pv,pv,green grass,s3T1win_069,22.0099,-19.0776
MEYER-OKIN,pv,pv,green grass,s3T1win_068,22.0099,-19.0776
MEYER-OKIN,pv,pv,combretum hereroense,S8T3ind_008,21.6833,-21.7612
MEYER-OKIN,pv,pv,green grass,s3T1win_067,22.0099,-19.0776
MEYER-OKIN,pv,pv,Bauhinia pertersiana,s3T1win_064,22.0099,-19.0776
MEYER-OKIN,pv,pv,Bauhinia pertersiana,s3T1win_063,22.0099,-19.0776
MEYER-OKIN,pv,pv,Bauhinia pertersiana,s3T1win_062,22.0099,-19.0776
MEYER-OKIN,pv,pv,Bauhinia pertersiana,s3T1win_061,22.0099,-19.0776
MEYER-OKIN,pv,pv,green herb,s3T1win_060,22.0099,-19.0776
MEYER-OKIN,pv,pv,green herb,s3T1win_059,22.0099,-19.0776
MEYER-OKIN,pv,pv,green herb,s3T1win_058,22.0099,-19.0776
MEYER-OKIN,pv,pv,green herb,s3T1win_057,22.0099,-19.0776
MEYER-OKIN,pv,pv,green herb,s3T1win_056,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum hereroense,s3T1win_055,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum hereroense,s3T1win_054,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum hereroense,s3T1win_053,22.0099,-19.0776
MEYER-OKIN,pv,pv,Combretum hereroense,s3T1win_051,22.0099,-19.0776
MEYER-OKIN,pv,pv,combretum hereroense,S8T3ind_002,21.6833,-21.7612
MEYER-OKIN,pv,pv,Bauhinia pertersiana,s3T1win_065,22.0099,-19.0776
MEYER-OKIN,pv,pv,grewia leaf,s2t1ind_019,21.8418,-18.6798
MEYER-OKIN,pv,pv,Combretum hereroense,s3T1win_052,22.0099,-19.0776
MEYER-OKIN,pv,pv,acacia literetsi leaf,s2t1ind_011,21.8418,-18.6798
MEYER-OKIN,pv,pv,green herb,S11T1ind_040,21.8899,-24.1679
MEYER-OKIN,pv,pv,green herb,S11T1ind_039,21.8899,-24.1679
MEYER-OKIN,pv,pv,green herb,S11T1ind_038,21.8899,-24.1679
MEYER-OKIN,pv,pv,green herb,S11T1ind_037,21.8899,-24.1679
MEYER-OKIN,pv,pv,green herb,S11T1ind_036,21.8899,-24.1679
MEYER-OKIN,pv,pv,green herb,S11T1ind_035,21.8899,-24.1679
MEYER-OKIN,pv,pv,green herb,S11T1ind_032,21.8899,-24.1679
MEYER-OKIN,pv,pv,green herb,S11T1ind_031,21.8899,-24.1679
MEYER-OKIN,pv,pv,green grass,S11T1ind_029,21.8899,-24.1679
MEYER-OKIN,pv,pv,green grass,S11T1ind_026,21.8899,-24.1679
MEYER-OKIN,pv,pv,green grass,S11T1ind_025,21.8899,-24.1679
MEYER-OKIN,pv,pv,green grass,S11T1ind_024,21.8899,-24.1679
MEYER-OKIN,pv,pv,lyzium cinerum,S11T1ind_018,21.8899,-24.1679
MEYER-OKIN,pv,pv,lyzium cinerum,S11T1ind_017,21.8899,-24.1679
SR,pv,UNKN-,UNKN-,SR0020_l1_23_pv,-120.04222,34.703385
MEYER-OKIN,pv,pv,lyzium cinerum,S11T1ind_016,21.8899,-24.1679
MEYER-OKIN,pv,pv,lyzium cinerum,S11T1ind_011,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_010,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_009,21.8899,-24.1679
MEYER-OKIN,pv,pv,lonchocarpus leaf,s2t1ind_014,21.8418,-18.6798
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_008,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_007,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_006,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_005,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_004,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_003,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_002,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_001,21.8899,-24.1679
MEYER-OKIN,pv,pv,rhus tenuiveris,S11T1ind_000,21.8899,-24.1679
SR,pv,UNKN-,UNKN-,SR0021_l1_03_pv,-120.0415917,34.70347667
MEYER-OKIN,pv,pv,lyzium cinerum,S11T1ind_012,21.8899,-24.1679
SR,pv,UNKN-,UNKN-,SR0021_l1_09_pv,-120.0415783,34.703415
SR,pv,UNKN-,UNKN-,SR0020_l1_20_pv,-120.0422767,34.70328833
SR,pv,UNKN-,UNKN-,SR0020_l1_15_pv,-120.04223,34.703285
MEYER-OKIN,pv,pv,green grass,S13T1din_023,22.2607,-25.0681
MEYER-OKIN,pv,pv,green grass,S13T1din_022,22.2607,-25.0681
MEYER-OKIN,pv,pv,green grass,S13T1din_016,22.2607,-25.0681
SR,pv,UNKN-,UNKN-,SR0019_l2_18_pv,-120.0413267,34.70293
MEYER-OKIN,pv,pv,green grass,S12T3ind_039,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_038,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_037,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_036,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_035,21.9163,-24.6304
MEYER-OKIN,pv,pv,acacia luederitzii,S12T3ind_034,21.9163,-24.6304
MEYER-OKIN,pv,pv,acacia luederitzii,S12T3ind_033,21.9163,-24.6304
MEYER-OKIN,pv,pv,acacia luederitzii,S12T3ind_032,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_028,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_027,21.9163,-24.6304
SR,pv,UNKN-,UNKN-,SR0020_l1_18_pv,-120.0422883,34.70329667
MEYER-OKIN,pv,pv,Grewia flava,S12T3ind_023,21.9163,-24.6304
MEYER-OKIN,pv,pv,Lyzium cinera,S12T3ind_021,21.9163,-24.6304
MEYER-OKIN,pv,pv,Lyzium cinera,S12T3ind_020,21.9163,-24.6304
SR,pv,UNKN-,UNKN-,SR0034_l2_05_pv,-120.0348833,34.68664
MEYER-OKIN,pv,pv,Rhus tenuiveris,S12T3ind_017,21.9163,-24.6304
MEYER-OKIN,pv,pv,Rhus tenuiveris,S12T3ind_016,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_010,21.9163,-24.6304
MEYER-OKIN,pv,pv,green grass,S12T3ind_005,21.9163,-24.6304
MEYER-OKIN,pv,pv,green herb,S12T3din_030,21.9163,-24.6304
SR,pv,UNKN-,UNKN-,SR0020_l2_10_pv,-120.0421783,34.70335333
SR,pv,UNKN-,UNKN-,SR0020_l2_11_pv,-120.04222,34.70333667
MEYER-OKIN,pv,pv,rhigozum ,S12T3din_004,21.9163,-24.6304
MEYER-OKIN,pv,pv,rhigozum ,S12T3din_003,21.9163,-24.6304
SR,pv,BRASNIGR,BRASNIGR,SR0020_l2_14_pv,-120.0421517,34.70331167
SR,pv,UNKN-,UNKN-,SR0020_l1_13_pv,-120.042285,34.70324333
MEYER-OKIN,pv,pv,Grewia flava,S12T3ind_022,21.9163,-24.6304
SR,pv,UNKN-,UNKN-,SR0019_l2_06_pv,-120.0413933,34.70292333
MEYER-OKIN,pv,pv,acacia erioloba,S10T3din_038,21.6773,-23.6335
SR,pv,UNKN-,UNKN-,SR0021_l2_04_pv,-120.0415233,34.70341667
MEYER-OKIN,pv,pv,green grass,S10T1ind_055,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T1ind_050,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T1ind_049,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T1ind_048,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T1ind_047,21.6773,-23.6335
MEYER-OKIN,pv,pv,green grass,S10T1ind_046,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_045,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_044,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_043,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_042,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_041,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_040,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_039,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_038,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_001,21.6773,-23.6335
MEYER-OKIN,pv,pv,green herb,S10T1ind_037,21.6773,-23.6335
SR,pv,UNKN-,UNKN-,SR0022_l2_08_pv,-120.038265,34.704925
SR,pv,UNKN-,UNKN-,SR0022_l2_11_pv,-120.0382817,34.704915
JORN,pv,PROSGLAN,PROSGLAN,JORN0005_l1_03_pv,-106.7724467,32.57042667
SR,pv,AVENFATU,AVENFATU,SR0047_l1_05_pv,-120.0383233,34.699365
SR,pv,AVENFATU,AVENFATU,SR0047_l1_01_pv,-120.038095,34.69947167
SR,pv,UNKN-,UNKN-,SR0033_l1_06_pv,-120.0339267,34.68650833
JORN,pv,UNKN-,UNKN-,JORN0007_l3_12_pv,-106.7740083,32.57597667
SR,pv,UNKN-,UNKN-,SR0033_l1_08_pv,-120.03389,34.68658833
SR,pv,UNKN-,UNKN-,SR0034_l1_07_pv,-120.034835,34.68667333
SR,pv,UNKN-,UNKN-,SR0034_l1_03_pv,-120.0348667,34.68673833
SR,pv,UNKN-,UNKN-,SR0034_l1_00_pv,-120.0349,34.68671667
SR,pv,UNKN-,UNKN-,SR0034_l2_13_pv,-120.0349117,34.68674333
SR,pv,UNKN-,UNKN-,SR0034_l2_11_pv,-120.0349083,34.68673333
SR,pv,UNKN-,UNKN-,SR0034_l2_06_pv,-120.0349167,34.68669833
MEYER-OKIN,pv,pv,green herb,S10T1ind_036,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia erioloba,S10T3din_037,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_002,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia haematoxilon,S10T2ind_004,21.6773,-23.6335
SR,pv,UNKN-,UNKN-,SR0021_l2_07_pv,-120.0415367,34.70341167
DP,pv,SALVMELL,SALVMELL,DP0032_l2_08_pv,-120.4578433,34.53752167
DP,pv,BACCPILU,BACCPILU,DP0032_l1_06_pv,-120.4578983,34.53751833
DP,pv,UNKN-,UNKN-,DP0033_l1_00_pv,-120.39898,34.52641333
MEYER-OKIN,pv,pv,acacia erioloba,S10T2ind_055,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia erioloba,S10T2ind_053,21.6773,-23.6335
MEYER-OKIN,pv,pv,acacia erioloba,S10T2ind_052,21.6773,-23.6335
