"label","key_value","condition_value","sort_order"
"Calandrinia menzieszii - Red maids","CALAMENZ","","131"
"Calliandra humilis","CALLHUMI","","132"
"Calycoseris wrightii","CALYWRIG","","133"
"Calystegia macrostegia","CALYMACR","","134"
"Carduus pycnocephalus - Italian thistle","CARDPYCN","","135"
"Carex barbarae","CAREBARB","","136"
"Carlowrightia linearifolia","CARLLINE","","137"
"Carpobrotus edulis - Iceplant","CARPEDUL","","138"
"Castilleja densiflora - Dense flower owl's clover","CASTDENS","","139"
"Castilleja exserta - owl's clover","CASTEXSE","","140"
"Ceanothus cuneatus","CEANCUNE","","141"
"Ceanothus greggii","CEANGREG","","142"
"Celtis reticulata","CELTRETI","","143"
"Cenchrus longispinus","CENCLONG","","144"
"Cenchrus spinifex","CENCSPIN","","145"
"Centaurea americana","CENTAMER","","146"
"Centaurea melitensis","CENTMELI","","147"
"Cerastium glomeratum","CERAGLOM","","148"
"Cevallia sinuata","CEVASINU","","149"
"Chaenactis stevioides","CHAESTEV","","150"
"Chaetopappa ericoides","CHAEERIC","","151"
"Chamaesaracha coronopus","CHAMCORO","","152"
"Chamaesaracha sordida","CHAMSORD","","153"
"Chamaesyce albomarginata","CHAMALBO","","154"
"Chamaesyce glyptosperma","CHAMGLYP","","155"
"Chamaesyce micromera","CHAMMICR","","156"
"Chamaesyce parryi","CHAMPARR","","157"
"Chamaesyce revoluta","CHAMREVO","","158"
"Chamaesyce serpyllifolia","CHAMSERP","","159"
"Chamaesyce serrula","CHAMSERR","","160"
"Chamaesyce setiloba","CHAMSETI","","161"
"Cheilanthes lindheimeri","CHEILIND","","162"
"Cheilanthes tomentosa","CHEITOME","","163"
"Chenopodium album","CHENALBU","","164"
"Chenopodium berlandieri","CHENBERL","","165"
"Chenopodium californicum","CHENCALI","","166"
"Chenopodium dessicatum","CHENDESS","","167"
"Chenopodium incanum","CHENINCA","","168"
"Chenopodium leptophyllum","CHENLEPT","","169"
"Chenopodium murale","CHENMURA","","170"
"Chilopsis linearis","CHILLINE","","171"
"Chloracantha spinosa","CHLOSPIN","","172"
"Chloris virgata","CHLOVIRG","","173"
"Chlorogalum pomeridianum","CHLOPOME","","174"
"Chorizanthe palmeri","CHORPALM","","175"
"Chrysactinia mexicana","CHRYMEXI","","176"
"Chrysothamnus pulchellus","CHRYPULC","","177"
"Cirsium occidentale","CIRSOCCI","","178"
"Cirsium ochrocentrum","CIRSOCHR","","179"
"Clarkia cylindrica","CLARCYLI","","180"
"Clarkia purpurea","CLARPURP","","181"
"Claytonia perfoliata - Miner's lettuce","CLAYPERF","","182"
"Clematis drummondii","CLEMDRUM","","183"
"Clematis ligusticifolia","CLEMLIGU","","184"
"Collinsia heterophylla","COLLHETE","","185"
"Comandra umbellata","COMAUMBE","","186"
"Commelina erecta","COMMEREC","","187"
"Commicarpus scandens","COMMSCAN","","188"
"Condalia warnockii","CONDWARN","","189"
"Convolvulus equitans","CONVEQUI","","190"
"Conyza canadensis","CONYCANA","","191"
"Corethrogyne filaginifolia","COREFILA","","192"
"Corispermum americanum","CORIAMER","","193"
"Corydalis aurea","CORYAURE","","194"
"Coryphantha macromeris","CORYMACR","","195"
"Coryphantha robustispina","CORYROBU","","196"
"Crassula connata","CRASCONN","","197"
"Cressa truxillensis","CRESTRUX","","198"
"Croton fruticulosus","CROTFRUT","","199"
"Croton pottsii","CROTPOTT","","200"
"Croton setiger","CROTSETI","","201"
"Cryptantha angustifolia","CRYPANGU","","202"
"Cryptantha barbigera","CRYPBARB","","203"
"Cryptantha cinerea","CRYPCINE","","204"
"Cryptantha crassisepala","CRYPCRAS","","205"
"Cryptantha intermedia","CRYPINTE","","206"
"Cryptantha micrantha","CRYPMICR","","207"
"Cryptantha pterocarya","CRYPPTER","","208"
"Cryptantha pusilla","CRYPPUSI","","209"
"Cucurbita foetidissima","CUCUFOET","","210"
"Cuscuta salina","CUSCSALI","","211"
"Cuscuta umbellata","CUSCUMBE","","212"
"Cyclachaena xanthiifolia","CYCLXANT","","213"
"Cycloloma atriplicifolium","CYCLATRI","","214"
"Cylindropuntia imbricata","CYLIIMBR","","215"
"Cylindropuntia leptocaulis","CYLILEPT","","216"
"Cylindropuntia spinosior","CYLISPIN","","217"
"Cynodon dactylon","CYNODACT","","218"
"Cyperus esculentus","CYPEESCU","","219"
"Cyperus retroflexus","CYPERETR","","220"
"Cyphomeris gypsophiloides","CYPHGYPS","","221"
"Dalea cylindriceps","DALECYLI","","222"
"Dalea formosa","DALEFORM","","223"
"Dalea lanata","DALELANA","","224"
"Dalea nana","DALENANA","","225"
"Dalea pogonathera","DALEPOGO","","226"
"Dasylirion wheeleri","DASYWHEE","","227"
"Dasyochloa pulchella","DASYPULC","","228"
"Datura quercifolia","DATUQUER","","229"
"Datura wrightii","DATUWRIG","","230"
"Daucus pusillus - American wild carrot","DAUCPUSI","","231"
"Deinandra increscens","DEININCR","","232"
"Delphinium wootonii","DELPWOOT","","233"
"Descurainia pinnata","DESCPINN","","234"
"Desmanthus cooleyi","DESMCOOL","","235"
"Desmatodon convolutus","DESMCONV","","236"
"Desmatodon guepinii","DESMGUEP","","237"
"Desmatodon plinthobius","DESMPLIN","","238"
"Dichelostemma capitatum - Blue dicks","DICHCAPI","","239"
"Didymodon rigidulus","DIDYRIGI","","240"
"Dieteria canescens","DIETCANE","","241"
"Digitaria californica","DIGICALI","","242"
"Digitaria pubiflora","DIGIPUBI","","243"
"Dimorphocarpa wislizeni","DIMOWISL","","244"
"Distichlis spicata","DISTSPIC","","245"
"Draba cuneifolia","DRABCUNE","","246"
"Drymaria pachyphylla","DRYMPACH","","247"
"Dryopetalon runcinatum","DRYORUNC","","248"
"Dyssodia papposa","DYSSPAPP","","249"
"Echinocactus horizonthalonius","ECHIHORI","","250"
"Echinocereus coccineus","ECHICOCC","","251"
"Echinocereus fendleri","ECHIFEND","","252"
"Echinocereus pectinatus","ECHIPECT","","253"
"Echinocereus stramineus","ECHISTRA","","254"
"Echinocereus triglochidiatus","ECHITRIG","","255"
"Echinochloa colona","ECHICOLO","","256"
"Echinochloa crusgallii","ECHICRUS","","257"
"Echinomastus intertextus","ECHIINTE","","258"
"Elymus condensatus - Giant wild rye","ELYMCOND","","259"
"Elymus glaucus - Blue wild rye","ELYMGLAU","","260"
"Elymus smithii","ELYMSMIT","","261"
"Elymus triticoides - Beardless wild rye","ELYMTRIT","","262"
"Encelia californica - California brittlebrush","ENCECALI","","263"
"Enneapogon desvauxii","ENNEDESV","","264"
"Ephedra californica - Mormon tea","EPHECALI","","265"
"Ephedra torreyana","EPHETORR","","266"
"Ephedra trifurca","EPHETRIF","","267"
"Epilobium brachycarpum","EPILBRAC","","268"
"Equisetum hyemale","EQUIHYEM","","269"
"Eragrostis cilianensis","ERAGCILI","","270"
"Eragrostis curvula","ERAGCURV","","271"
"Eragrostis erosa","ERAGEROS","","272"
"Eragrostis intermedia","ERAGINTE","","273"
"Eragrostis lehmanniana","ERAGLEHM","","274"
"Eragrostis pectinacea","ERAGPECT","","275"
"Eremothera chamaenerioides","EREMCHAM","","276"
"Eriastrum diffusum","ERIADIFF","","277"
"Ericameria laricifolia","ERICLARI","","278"
"Erigeron bellidiastrum","ERIGBELL","","279"
"Erigeron divergens","ERIGDIVE","","280"
"Erigeron foliosus","ERIGFOLI","","281"
"Erigeron modestus","ERIGMODE","","282"
"Erigeron tracyi","ERIGTRAC","","283"
"Eriochloa acuminata","ERIOACUM","","284"
"Eriodictyon crassifolium - Thick-leaved yerba santa","ERIOCRAS","","285"
"Eriogonum abertianum","ERIOABER","","286"
"Eriogonum annuum","ERIOANNU","","287"
"Eriogonum cernuum","ERIOCERN","","288"
"Eriogonum elonongatum - Longstem buckwheat","ERIOELON","","289"
"Eriogonum fasciculatum - California buckwheat","ERIOFASC","","290"
"Eriogonum jamesii","ERIOJAME","","291"
"Eriogonum rotundifolium","ERIOROTU","","292"
"Eriogonum trichopes","ERIOTRIC","","293"
"Eriogonum wrightii","ERIOWRIG","","294"
"Erioneuron nealleyi","ERIONEAL","","295"
"Eriophyllum confertiflorum","ERIOCONF","","296"
"Erodium botrys","ERODBOTR","","297"
"Erodium cicutarium","ERODCICU","","298"
"Erodium moschatum","ERODMOSC","","299"
"Erodium sp.","ERODSP.","","300"
"Erodium texanum","ERODTEXA","","301"
"Erysimum capitatum","ERYSCAPI","","302"
