"label","key_value","condition_value","sort_order"
"Portulaca pilosa","PORTPILO","","571"
"Portulaca retusa","PORTRETU","","572"
"Portulaca suffrutescens","PORTSUFF","","573"
"Portulaca umbraticola","PORTUMBR","","574"
"Primula clevelandii - Padre's shooting star","PRIMCLEV","","575"
"Proboscidea althaeifolia","PROBALTH","","576"
"Proboscidea louisianica","PROBLOUI","","577"
"Proboscidea parviflora","PROBPARV","","578"
"Prosopis glandulosa","PROSGLAN","","579"
"Prosopis pubescens","PROSPUBE","","580"
"Prunus ilicifolia - Hollyleaf cherry","PRUNILIC","","581"
"Pseudognaphalium californicum","PSEUCALI","","582"
"Pseudognaphalium stramineum","PSEUSTRA","","583"
"Pseudotsuga macrocarpa - Bigcone douglas fir","PSEUMACR","","584"
"Psilostrophe tagetina","PSILTAGE","","585"
"Psorothamnus scoparius","PSORSCOP","","586"
"Ptelea trifoliata","PTELTRIF","","587"
"Pterostegia drymarioides","PTERDRYM","","588"
"Pterygoneurum ovatum","PTEROVAT","","589"
"Pyrrhopappus pauciflorus","PYRRPAUC","","590"
"Quercus agrifolia - Coast live oak","QUERAGRI","","591"
"Quercus berberidifolia - Scrub oak","QUERBERB","","592"
"Quercus crysolepis - Canyon live oak","QUERCRYS","","593"
"Quercus douglasii - Blue oak","QUERDOUG","","594"
"Quercus lobata - Valley oak","QUERLOBA","","595"
"Quercus turbinella","QUERTURB","","596"
"Quercus wislizeni - Bush interior live oak","QUERWISL","","597"
"Rafinesquia neomexicana","RAFINEOM","","598"
"Ramalina menziesii","RAMAMENZ","","599"
"Ranunculus californicus - California buttercup","RANUCALI","","600"
"Ratibida columnifera","RATICOLU","","601"
"Ratibida tagetes","RATITAGE","","602"
"Reverchonia arenaria","REVEAREN","","603"
"Rhamnus crocea","RHAMCROC","","604"
"Rhus integrifolia - Lemonadeberry","RHUSINTE","","605"
"Rhus microphylla","RHUSMICR","","606"
"Rhus trilobata","RHUSTRIL","","607"
"Rhynchosida physocalyx","RHYNPHYS","","608"
"Rigiopappus leptocladus","RIGILEPT","","609"
"Rumex hymenosepalus","RUMEHYME","","610"
"Rumex mexicanus","RUMEMEXI","","611"
"Salix exigua","SALIEXIG","","612"
"Salix gooddingii","SALIGOOD","","613"
"Salix lasiolepis - Arroyo willow","SALILASI","","614"
"Salsola Kali - Saltwort","SALSKALI","","615"
"Salsola tragus - Barbwire Russian Thistle","SALSTRAG","","616"
"Salvia leucophylla - Purple sage","SALVLEUC","","617"
"Salvia mellifera - Black sage","SALVMELL","","618"
"Sambucus nigra - Black elderberry","SAMBNIGR","","619"
"Sanicula arguta","SANIARGU","","620"
"Sanicula bipinnata","SANIBIPI","","621"
"Sanvitalia abertii","SANVABER","","622"
"Sapindus drummondii","SAPIDRUM","","623"
"Sarcobatus vermiculatus - Greasewood","SARCVERM","","624"
"Sarcostemma cynanchoides","SARCCYNA","","625"
"Sartwellia flaveriae","SARTFLAV","","626"
"Schinus molle - Peruvian pepper tree","SCHIMOLL","","627"
"Schismus arabicus","SCHIARAB","","628"
"Schoenocrambe linearifolia","SCHOLINE","","629"
"Schoenoplectus acutus","SCHOACUT","","630"
"Schoenoplectus pungens","SCHOPUNG","","631"
"Scleropogon brevifolius","SCLEBREV","","632"
"Scrophularia californica","SCROCALI","","633"
"Selaginella rupincola","SELARUPI","","634"
"Selenia dissecta","SELEDISS","","635"
"Senecio flaccidus","SENEFLAC","","636"
"Senecio riddellii","SENERIDD","","637"
"Senna bauhinioides","SENNBAUH","","638"
"Senna lindheimeriana","SENNLIND","","639"
"Setaria leucopila","SETALEUC","","640"
"Setaria pumila","SETAPUMI","","641"
"Setaria viridis","SETAVIRI","","642"
"Sida abutifolia","SIDAABUT","","643"
"Silene antirrhina","SILEANTI","","644"
"Silene gallica - Windmill pink","SILEGALL","","645"
"Silybum marianum - Milk thistle","SILYMARI","","646"
"Sisymbrium irio","SISYIRIO","","647"
"Sisymbrium officinale","SISYOFFI","","648"
"Sisyrinchium bellum - Blue-eyed grass","SISYBELL","","649"
"Solanum douglasii","SOLADOUG","","650"
"Solanum elaeagnifolium","SOLAELAE","","651"
"Solanum heterodoxum","SOLAHETE","","652"
"Solanum rostratum","SOLAROST","","653"
"Sonchus asper","SONCASPE","","654"
"Sonchus oleraceus","SONCOLER","","655"
"Sophora nuttalliana","SOPHNUTT","","656"
"Sophora stenophylla","SOPHSTEN","","657"
"Sorghum halepense","SORGHALE","","658"
"Sphaeralcea angustifolia","SPHAANGU","","659"
"Sphaeralcea coccinea","SPHACOCC","","660"
"Sphaeralcea digitata","SPHADIGI","","661"
"Sphaeralcea fendleri","SPHAFEND","","662"
"Sphaeralcea hastulata","SPHAHAST","","663"
"Sphaeralcea incana","SPHAINCA","","664"
"Sphaerophysa salsula","SPHASALS","","665"
"Sporobolus airoides","SPORAIRO","","666"
"Sporobolus contractus","SPORCONT","","667"
"Sporobolus cryptandrus","SPORCRYP","","668"
"Sporobolus flexuosus","SPORFLEX","","669"
"Sporobolus giganteus","SPORGIGA","","670"
"Sporobolus nealleyi","SPORNEAL","","671"
"Sporobolus pyramidatus","SPORPYRA","","672"
"Sporobolus wrightii","SPORWRIG","","673"
"Stellaria media","STELMEDI","","674"
"Stephanomeria exigua","STEPEXIG","","675"
"Stephanomeria pauciflora","STEPPAUC","","676"
"Stipa cernua","STIPCERN","","677"
"Stipa columbiana - Columbia Needlegrass","STIPCOLU","","678"
"Stipa lepida - Foothill needle grass","STIPLEPI","","679"
"Stipa pulchra - Purple needle grass","STIPPULC","","680"
"Streptanthus carinatus","STRECARI","","681"
"Suaeda nigra","SUAENIGR","","682"
"Symphyotrichum subulatum","SYMPSUBU","","683"
"Talinum aurantiacum","TALIAURA","","684"
"Talinum polygaloides","TALIPOLY","","685"
"Tamarix chinensis","TAMACHIN","","686"
"Tecoma stans","TECOSTAN","","687"
"Tetraclea coulteri","TETRCOUL","","688"
"Thelesperma megapotamicum","THELMEGA","","689"
"Thelypodium wrightii","THELWRIG","","690"
"Thymophylla acerosa","THYMACER","","691"
"Thymophylla pentachaeta","THYMPENT","","692"
"Thysanocarpus laciniatus","THYSLACI","","693"
"Thysanocarpus sp.","THYSSP.","","694"
"Tidestromia lanuginosa","TIDELANU","","695"
"Tiquilia canescens","TIQUCANE","","696"
"Torilis arvensis","TORIARVE","","697"
"Torilis nodosa","TORINODO","","698"
"Tortula bartramii","TORTBART","","699"
"Tortula ruralis","TORTRURA","","700"
"Townsendia annua","TOWNANNU","","701"
"Toxicodendron diversilobum - Poison oak","TOXIDIVE","","702"
"Toxicoscordion fremontii - Common star lily","TOXIFREM","","703"
"Tradescantia occidentalis","TRADOCCI","","704"
"Tragia nepetifolia","TRAGNEPE","","705"
"Tragia ramosa","TRAGRAMO","","706"
"Tragopogon dubius","TRAGDUBI","","707"
"Tragus berteronianus","TRAGBERT","","708"
"Tribulus terrestris","TRIBTERR","","709"
"Trichostema lanatum","TRICLANA","","710"
"Tridens muticus","TRIDMUTI","","711"
"Trifolium albopurpureum - Rancheria clover","TRIFALBO","","712"
"Trifolium ciliolatum - Foothill clover","TRIFCILI","","713"
"Trifolium gracilentum - Pinpoint clover","TRIFGRAC","","714"
"Trifolium microcephalum - Hairy clover","TRIFMICR","","715"
"Trifolium willdenovii - Tomcat clover","TRIFWILL","","716"
"Trixis californica","TRIXCALI","","717"
"Ungnadia speciosa","UNGNSPEC","","718"
"Urochloa arizonica","UROCARIZ","","719"
"Urochloa fasciculata","UROCFASC","","720"
"Uropappus lindleyi","UROPLIND","","721"
"Urtica urens - Annual stinging nettle","URTIUREN","","722"
"Verbena bracteata","VERBBRAC","","723"
"Verbesina encelioides","VERBENCE","","724"
"Vicia hassei","VICIHASS","","725"
"Vicia ludoviciana","VICILUDO","","726"
"Viguiera dentata","VIGUDENT","","727"
"Viguiera longifolia","VIGULONG","","728"
"Viola pedunculata - California golden violet","VIOLPEDU","","729"
"Vulpia microstachys","VULPMICR","","730"
"Vulpia myuros","VULPMYUR","","731"
"Vulpia octoflora","VULPOCTO","","732"
"Weissia condensa","WEISCOND","","733"
"Weissia controversa","WEISCONT","","734"
"Xanthisma gracilis","XANTGRAC","","735"
"Xanthisma spinulosum","XANTSPIN","","736"
"Xanthium strumarium","XANTSTRU","","737"
"Yabea microcarpa - California hedge parsley","YABEMICR","","738"
"Yucca baccata","YUCCBACC","","739"
"Yucca elata","YUCCELAT","","740"
"Zephyranthes longifolia","ZEPHLONG","","741"
"Zinnia acerosa","ZINNACER","","742"
"Zinnia grandiflora","ZINNGRAN","","743"
"Ziziphus obtusifolia","ZIZIOBTU","","744"
